round_num,vignette_id,agent_id,communication_style,assessment_choice,assessment_confidence,bid_amount,was_proposer,proposal_cost,intervention_cost,final_vote,agent_reward,agent_total_cost,budget_remaining
1,ethics_mh_002,agent_17,timid,Delay deployment until more diverse data improves model fairness.,0.950,0.450894,0,0.000000,0.328000,Delay deployment until more diverse data improves model fairness.,0.172000,0.328000,0.672000
1,ethics_mh_002,agent_18,assertive,Delay deployment until more diverse data improves model fairness.,0.950,1.000000,0,0.000000,0.322000,Delay deployment until more diverse data improves model fairness.,0.178000,0.322000,0.678000
1,ethics_mh_002,agent_19,neutral,Delay deployment until more diverse data improves model fairness.,0.950,0.931575,0,0.000000,0.339000,Delay deployment until more diverse data improves model fairness.,0.161000,0.339000,0.661000
2,ethics_mh_038,agent_00,calibrated,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.959187,0,0.000000,0.315000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.185000,0.315000,0.685000
2,ethics_mh_038,agent_01,timid,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.477053,0,0.000000,0.304000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.196000,0.304000,0.696000
2,ethics_mh_038,agent_02,calibrated,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.919340,0,0.000000,0.326000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.174000,0.326000,0.674000
2,ethics_mh_038,agent_03,assertive,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,1.000000,1,1.254000,0.000000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,-0.754000,1.254000,0.746000
2,ethics_mh_038,agent_04,calibrated,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.980829,0,0.000000,0.308000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.192000,0.308000,0.692000
2,ethics_mh_038,agent_05,timid,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.432420,0,0.000000,0.331000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.169000,0.331000,0.669000
2,ethics_mh_038,agent_06,neutral,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,1.000000,0,0.000000,0.317000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.183000,0.317000,0.683000
2,ethics_mh_038,agent_07,timid,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.520585,0,0.000000,0.315000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.185000,0.315000,0.685000
2,ethics_mh_038,agent_08,calibrated,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,1.000000,0,0.000000,0.317000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.183000,0.317000,0.683000
2,ethics_mh_038,agent_09,neutral,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.926427,0,0.000000,0.329000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.171000,0.329000,0.671000
2,ethics_mh_038,agent_10,assertive,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,1.000000,0,0.000000,0.323000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.177000,0.323000,0.677000
2,ethics_mh_038,agent_11,calibrated,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.879332,0,0.000000,0.332000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.168000,0.332000,0.668000
2,ethics_mh_038,agent_12,neutral,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.920036,0,0.000000,0.318000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.182000,0.318000,0.682000
2,ethics_mh_038,agent_13,assertive,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,1.000000,0,0.000000,0.318000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.182000,0.318000,0.682000
2,ethics_mh_038,agent_14,timid,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.495670,0,0.000000,0.330000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.170000,0.330000,0.670000
2,ethics_mh_038,agent_15,assertive,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,1.000000,0,0.000000,0.316000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.184000,0.316000,0.684000
2,ethics_mh_038,agent_16,neutral,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.976622,0,0.000000,0.323000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.177000,0.323000,0.677000
2,ethics_mh_038,agent_17,timid,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.465416,0,0.000000,0.336000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.164000,0.336000,0.664000
2,ethics_mh_038,agent_18,assertive,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,1.000000,0,0.000000,0.329000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.171000,0.329000,0.671000
2,ethics_mh_038,agent_19,neutral,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.950,0.940430,0,0.000000,0.319000,Adjust the AI tool to ensure that it provides accurate assessments for both men ,0.181000,0.319000,0.681000
